housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
13.0,5819.0,919.0,2228.0,866.0,4.9335,298100.0
33.0,3177.0,713.0,1845.0,612.0,4.008,191100.0
15.0,1517.0,361.0,1275.0,343.0,1.5875,55800.0
43.0,1428.0,325.0,836.0,302.0,4.5759,209200.0
37.0,1228.0,237.0,572.0,242.0,4.325,223900.0
29.0,1976.0,444.0,1254.0,371.0,2.1782,126800.0
24.0,4072.0,582.0,1834.0,565.0,6.0487,254500.0
19.0,4005.0,972.0,1896.0,893.0,2.5268,235700.0
42.0,1686.0,361.0,737.0,319.0,2.3,189200.0
32.0,1273.0,344.0,1148.0,368.0,2.1061,214700.0
14.0,2391.0,451.0,798.0,308.0,3.0924,114600.0
18.0,2123.0,606.0,1576.0,599.0,1.5735,110000.0
23.0,2077.0,306.0,705.0,256.0,6.4744,500001.0
32.0,3274.0,820.0,2050.0,738.0,2.1265,55700.0
35.0,2853.0,588.0,1761.0,572.0,4.3533,168400.0
34.0,4789.0,1175.0,3134.0,1056.0,2.1782,58400.0
18.0,393.0,189.0,429.0,188.0,1.8393,187500.0
39.0,3162.0,896.0,1934.0,818.0,2.875,213500.0
26.0,5005.0,776.0,2357.0,790.0,8.5421,500001.0
14.0,1265.0,230.0,621.0,173.0,3.6618,161300.0
52.0,1855.0,611.0,1715.0,614.0,2.1289,250000.0
25.0,2963.0,552.0,1162.0,556.0,3.625,184500.0
31.0,2926.0,492.0,1149.0,476.0,7.9611,500001.0
33.0,1993.0,371.0,918.0,361.0,6.9021,337600.0
52.0,2805.0,573.0,1325.0,522.0,2.5083,70100.0
40.0,2790.0,531.0,952.0,424.0,4.8,500001.0
47.0,2077.0,400.0,719.0,326.0,2.2431,172700.0
26.0,4422.0,624.0,1936.0,625.0,6.4288,320700.0
39.0,1836.0,352.0,883.0,337.0,1.745,70500.0
39.0,1023.0,243.0,550.0,224.0,1.1141,54400.0
29.0,4059.0,787.0,1700.0,702.0,2.4526,97100.0
16.0,2173.0,399.0,1460.0,393.0,4.2614,169600.0
41.0,1973.0,399.0,1107.0,375.0,1.8971,66900.0
19.0,3351.0,589.0,1578.0,542.0,3.2917,160100.0
52.0,2156.0,469.0,1070.0,467.0,3.3011,252300.0
16.0,5603.0,938.0,3045.0,893.0,5.0778,293700.0
35.0,1490.0,253.0,705.0,253.0,3.3616,95300.0
23.0,3220.0,603.0,1299.0,591.0,3.9261,213300.0
43.0,1636.0,506.0,1855.0,502.0,2.2902,152400.0
16.0,6637.0,1171.0,3575.0,1162.0,4.3227,251500.0
19.0,3558.0,588.0,1439.0,578.0,4.625,211100.0
5.0,2840.0,403.0,1363.0,403.0,7.618,341400.0
52.0,1470.0,330.0,689.0,309.0,3.48,191400.0
34.0,3082.0,702.0,1795.0,703.0,2.7885,105900.0
26.0,1748.0,346.0,891.0,303.0,1.9439,62100.0
17.0,2414.0,594.0,2487.0,582.0,1.0955,62700.0
14.0,3103.0,569.0,1704.0,539.0,3.7644,264700.0
52.0,1275.0,218.0,627.0,185.0,2.3482,163500.0
20.0,2302.0,412.0,1205.0,399.0,2.8,71200.0
25.0,6508.0,1137.0,3259.0,1081.0,4.2348,157800.0
33.0,1805.0,303.0,838.0,301.0,5.4306,326600.0
35.0,1734.0,363.0,1527.0,344.0,3.0,160600.0
29.0,3662.0,586.0,1626.0,611.0,6.3974,410000.0
8.0,1705.0,400.0,886.0,391.0,3.9659,297400.0
27.0,2578.0,314.0,976.0,340.0,7.1882,359200.0
33.0,1959.0,342.0,984.0,356.0,4.5208,114200.0
35.0,3040.0,520.0,1374.0,518.0,6.1004,426400.0
17.0,2282.0,431.0,974.0,371.0,3.5417,155100.0
8.0,11336.0,1657.0,4089.0,1555.0,7.8287,369200.0
36.0,683.0,159.0,505.0,141.0,3.4265,158900.0
35.0,2220.0,388.0,906.0,373.0,3.5938,95200.0
30.0,4071.0,1067.0,2144.0,970.0,2.7268,218100.0
33.0,2974.0,623.0,1435.0,588.0,5.485,406300.0
25.0,950.0,259.0,404.0,195.0,3.1937,319200.0
41.0,1345.0,272.0,718.0,283.0,3.3831,129400.0
52.0,1410.0,303.0,578.0,285.0,2.5625,235400.0
36.0,1579.0,290.0,816.0,276.0,4.4318,181100.0
35.0,1958.0,484.0,1146.0,448.0,2.95,148900.0
28.0,3386.0,815.0,2240.0,737.0,3.0221,290100.0
25.0,7060.0,1159.0,3903.0,1139.0,4.8359,249200.0
20.0,3389.0,704.0,1309.0,520.0,3.2112,204500.0
3.0,7437.0,1222.0,574.0,302.0,10.2948,382400.0
12.0,1859.0,393.0,622.0,316.0,5.0258,161800.0
17.0,2479.0,390.0,1219.0,363.0,4.6417,125700.0
40.0,2662.0,379.0,1151.0,387.0,8.4889,500001.0
34.0,1923.0,379.0,1101.0,351.0,2.4044,65800.0
33.0,2265.0,366.0,986.0,388.0,5.4533,409800.0
22.0,1891.0,340.0,1023.0,296.0,2.7303,99100.0
45.0,1106.0,225.0,595.0,228.0,3.6625,190700.0
19.0,6356.0,1100.0,2954.0,1070.0,4.7325,283500.0
16.0,1649.0,278.0,993.0,277.0,4.8526,170700.0
15.0,1875.0,316.0,890.0,316.0,6.5783,244800.0
52.0,1420.0,314.0,1085.0,300.0,1.7546,80600.0
48.0,1252.0,305.0,673.0,308.0,2.3357,175000.0
29.0,1061.0,202.0,759.0,206.0,4.8646,136800.0
52.0,1586.0,398.0,1006.0,335.0,2.1348,140600.0
24.0,3247.0,1281.0,2642.0,1182.0,2.4632,216700.0
34.0,1069.0,217.0,601.0,212.0,4.6406,255900.0
20.0,1454.0,326.0,624.0,262.0,1.925,65500.0
5.0,14944.0,2490.0,6600.0,2407.0,6.0857,308300.0
22.0,2554.0,447.0,1147.0,422.0,3.6346,192500.0
38.0,1481.0,353.0,1543.0,372.0,1.4577,49800.0
52.0,3143.0,635.0,1350.0,623.0,3.8571,366700.0
29.0,3390.0,580.0,1543.0,576.0,5.6184,316900.0
51.0,1905.0,291.0,707.0,284.0,6.2561,431000.0
52.0,191.0,52.0,106.0,49.0,2.0455,72500.0
11.0,3045.0,522.0,1563.0,516.0,5.4337,133800.0
52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0
18.0,2825.0,660.0,1590.0,643.0,3.6106,153600.0
16.0,3964.0,824.0,2622.0,766.0,2.3152,111300.0
12.0,2739.0,535.0,1859.0,498.0,2.9936,60600.0
11.0,2161.0,448.0,820.0,405.0,2.3565,122300.0
9.0,2370.0,424.0,1129.0,386.0,5.143,176500.0
13.0,5415.0,827.0,2061.0,714.0,7.3681,353100.0
22.0,2001.0,387.0,1520.0,387.0,3.148,102300.0
16.0,2476.0,402.0,1251.0,387.0,5.7676,241300.0
42.0,3321.0,688.0,1346.0,658.0,2.4618,101300.0
38.0,1663.0,295.0,781.0,301.0,5.0519,227000.0
13.0,3356.0,589.0,1458.0,601.0,3.8257,94200.0
35.0,1789.0,357.0,933.0,357.0,2.5223,66200.0
27.0,2131.0,543.0,1065.0,528.0,3.2404,230400.0
22.0,3219.0,756.0,1479.0,667.0,4.1473,354400.0
17.0,1498.0,331.0,574.0,242.0,2.0268,94200.0
10.0,2271.0,398.0,986.0,358.0,4.0703,147100.0
28.0,1582.0,264.0,696.0,270.0,5.678,370100.0
4.0,6995.0,1151.0,2907.0,1089.0,7.0808,341200.0
9.0,5685.0,1442.0,3773.0,1250.0,3.0426,129900.0
24.0,2268.0,330.0,847.0,296.0,3.858,214400.0
45.0,370.0,84.0,167.0,70.0,1.4853,101800.0
46.0,2054.0,502.0,1170.0,494.0,2.1786,206300.0
42.0,918.0,204.0,394.0,204.0,4.0069,214300.0
25.0,1566.0,352.0,784.0,362.0,3.075,165100.0
52.0,4325.0,823.0,1927.0,795.0,3.9485,419100.0
52.0,2501.0,757.0,1081.0,708.0,1.5872,157500.0
14.0,3959.0,849.0,1064.0,376.0,2.8214,111400.0
40.0,3693.0,771.0,2102.0,742.0,2.1838,75000.0
52.0,1786.0,306.0,1018.0,322.0,4.1518,182100.0
32.0,3028.0,815.0,1704.0,718.0,3.2028,322900.0
33.0,797.0,125.0,385.0,133.0,6.7974,367600.0
14.0,4340.0,741.0,1505.0,670.0,7.5674,500001.0
24.0,3983.0,675.0,1568.0,638.0,4.6458,213400.0
14.0,2714.0,361.0,1259.0,375.0,7.7738,387500.0
21.0,4670.0,1161.0,1914.0,1094.0,3.7986,367700.0
44.0,1297.0,307.0,776.0,278.0,2.5875,68900.0
35.0,2273.0,410.0,1431.0,403.0,4.0789,196700.0
16.0,2629.0,491.0,1265.0,485.0,4.5066,140200.0
18.0,1860.0,409.0,741.0,349.0,1.8672,84700.0
27.0,1621.0,363.0,909.0,345.0,2.1513,99700.0
47.0,1648.0,346.0,1120.0,338.0,2.0042,114200.0
31.0,1959.0,318.0,1021.0,303.0,4.3145,233000.0
8.0,1204.0,552.0,1074.0,517.0,1.0227,87500.0
15.0,2708.0,410.0,1140.0,389.0,6.2899,275000.0
16.0,8732.0,1489.0,3944.0,1493.0,5.1948,203500.0
48.0,3623.0,528.0,1282.0,516.0,9.5221,500001.0
44.0,1613.0,345.0,1227.0,342.0,3.1667,145700.0
28.0,3477.0,671.0,2990.0,648.0,4.4671,172600.0
38.0,1794.0,508.0,2188.0,454.0,2.6654,142200.0
11.0,2921.0,685.0,1512.0,664.0,4.1445,176400.0
52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0
20.0,7794.0,1192.0,4169.0,1188.0,5.9316,311900.0
23.0,292.0,56.0,92.0,41.0,2.9583,91700.0
14.0,9483.0,1361.0,4108.0,1281.0,7.5,344500.0
9.0,4794.0,889.0,2162.0,865.0,3.1439,103100.0
18.0,2933.0,481.0,1279.0,443.0,5.0849,188500.0
18.0,4197.0,1006.0,2203.0,874.0,2.166,118600.0
40.0,1185.0,221.0,676.0,256.0,2.2721,52600.0
51.0,2010.0,460.0,1355.0,433.0,2.0304,133400.0
30.0,1632.0,401.0,1357.0,401.0,3.1588,160100.0
50.0,309.0,47.0,121.0,45.0,6.213,285000.0
39.0,936.0,194.0,691.0,211.0,3.6875,169500.0
31.0,602.0,153.0,112.0,47.0,1.0667,34200.0
4.0,6159.0,1510.0,2649.0,1241.0,3.62,139300.0
9.0,1633.0,295.0,928.0,297.0,5.7858,265900.0
32.0,2159.0,393.0,981.0,369.0,4.3173,175400.0
42.0,626.0,143.0,625.0,156.0,3.125,166300.0
12.0,7095.0,1260.0,1179.0,570.0,4.9444,285000.0
4.0,6956.0,1271.0,3455.0,1228.0,4.7193,178700.0
13.0,3839.0,715.0,1486.0,532.0,3.1875,99800.0
39.0,1295.0,239.0,566.0,242.0,5.6407,326400.0
46.0,206.0,44.0,134.0,51.0,4.15,265000.0
40.0,802.0,149.0,445.0,143.0,4.0446,196300.0
18.0,1703.0,360.0,354.0,163.0,3.6563,146900.0
24.0,1335.0,312.0,1180.0,267.0,1.947,68900.0
36.0,1681.0,329.0,964.0,311.0,4.108,181200.0
27.0,949.0,224.0,888.0,241.0,2.3333,72800.0
9.0,525.0,171.0,1257.0,165.0,3.375,165300.0
13.0,3883.0,763.0,1816.0,682.0,2.8102,144400.0
15.0,1461.0,415.0,924.0,356.0,2.5045,90300.0
35.0,2245.0,393.0,783.0,402.0,4.1544,500001.0
15.0,2940.0,910.0,943.0,711.0,4.359,192200.0
24.0,2578.0,580.0,1217.0,529.0,2.2401,212500.0
14.0,1689.0,555.0,1319.0,527.0,3.16,143800.0
24.0,1545.0,391.0,1807.0,388.0,2.6429,105300.0
22.0,2144.0,376.0,1200.0,370.0,3.4426,102400.0
33.0,4015.0,663.0,1864.0,664.0,4.3152,159300.0
52.0,2877.0,721.0,1186.0,704.0,3.2645,175000.0
15.0,1840.0,235.0,855.0,241.0,7.5992,310600.0
24.0,938.0,275.0,508.0,253.0,1.642,32500.0
18.0,279.0,59.0,188.0,60.0,0.8246,91700.0
25.0,5411.0,998.0,2243.0,1019.0,4.3148,240700.0
42.0,3292.0,713.0,2224.0,674.0,3.5517,291500.0
3.0,945.0,115.0,337.0,123.0,11.5199,500001.0
35.0,2611.0,475.0,1293.0,463.0,2.75,197500.0
16.0,1914.0,446.0,828.0,332.0,2.0577,69000.0
47.0,1586.0,322.0,1077.0,339.0,4.4861,140400.0
44.0,1597.0,388.0,902.0,321.0,1.9556,93300.0
32.0,1260.0,382.0,1434.0,342.0,2.0286,122900.0
52.0,774.0,209.0,813.0,203.0,2.3472,135200.0
49.0,658.0,318.0,467.0,316.0,0.7068,200000.0
18.0,1892.0,568.0,974.0,553.0,2.3715,228000.0
35.0,1375.0,249.0,1015.0,239.0,4.0521,151800.0
20.0,3810.0,787.0,1993.0,721.0,2.0074,66900.0
35.0,1141.0,212.0,924.0,212.0,3.1591,148300.0
17.0,4150.0,1148.0,1808.0,1041.0,3.5051,232400.0
41.0,1733.0,492.0,1776.0,453.0,1.6221,104200.0
13.0,3163.0,725.0,1675.0,629.0,2.8214,121900.0
41.0,2621.0,542.0,1074.0,471.0,2.4016,287500.0
39.0,2471.0,460.0,1118.0,431.0,2.4167,71900.0
6.0,3028.0,778.0,1531.0,736.0,4.4259,158000.0
35.0,1493.0,278.0,729.0,268.0,2.9821,97400.0
20.0,1727.0,386.0,730.0,342.0,2.5195,92600.0
43.0,2039.0,331.0,875.0,342.0,3.9844,152000.0
14.0,5983.0,1224.0,3255.0,1150.0,2.5902,111500.0
14.0,3323.0,499.0,1527.0,540.0,5.3451,172100.0
21.0,4152.0,703.0,2255.0,697.0,4.5096,159500.0
16.0,1917.0,317.0,1324.0,351.0,6.2488,252000.0
27.0,2000.0,310.0,880.0,294.0,5.635,218900.0
36.0,1285.0,228.0,679.0,231.0,3.8705,191900.0
